date,Day,shrine,daily_count,weather_cat_num,rain_intensity_num,crowd_level_num,temp,rain,wind,humidity,month,day_of_week,is_weekend,seasonal_factor,weather_severity,heavy_rain_flag,storm_flag,lag_1,lag_3,lag_7,rolling_mean_7,darshan_duration,peak_hour_flag,shrine_num,trend,crowd_weather_interaction,weekend_crowd_interaction,rain_crowd_interaction_2,temple_pressure,final_risk_signal,risk_label_model
02-05-2022,Monday,Badrinath,7920,0,0,0,6.020833333,0,3.825,63.375,5,0,0,1.1,21.42083333,0,0,0,0,0,7920,30,0,1,0,0,0,0,7.92,0,0
03-05-2022,Tuesday,Badrinath,8580,1,1,1,7.470833333,0.0375,3.770833333,61.58333333,5,1,0,1.1,21.47458333,0,0,7920,0,0,8250,30,0,1,7920,21.47458333,0,1,8.58,21.47458333,1
04-05-2022,Wednesday,Badrinath,9240,1,1,1,6.970833333,0.120833333,3.233333333,64.04166667,5,2,0,1.1,22.03708333,0,0,8580,0,0,8580,30,0,1,8580,22.03708333,0,1,9.24,22.03708333,1
05-05-2022,Thursday,Badrinath,9900,1,2,1,6.033333333,0.3375,3.3875,72.45833333,5,3,0,1.1,24.25208333,1,0,9240,7920,0,8910,30,0,1,1320,24.25208333,0,2,9.9,24.25208333,2
06-05-2022,Friday,Badrinath,10560,1,1,1,5.441666667,0.154166667,3.329166667,70.375,5,4,0,1.1,23.33541667,0,0,9900,8580,0,9240,30,0,1,1320,23.33541667,0,1,10.56,23.33541667,1
07-05-2022,Saturday,Badrinath,11220,1,1,2,5.716666667,0.166666667,3.1375,73.58333333,5,5,1,1.1,24.41166667,0,0,10560,9240,0,9570,30,0,1,1320,48.82333334,11.22,2,11.22,97.64666668,2
08-05-2022,Sunday,Badrinath,8580,1,1,1,5.895833333,0.05,3.508333333,67.125,5,6,1,1.1,22.51083333,0,0,11220,9900,0,9428.571429,30,0,1,1320,22.51083333,8.58,1,8.58,45.02166666,1
09-05-2022,Monday,Badrinath,19034.4,1,1,2,6.8125,0.133333333,3.404166667,72.45833333,5,0,0,1.1,24.5025,0,0,8580,10560,7920,11016.34286,60,0,1,-1980,49.005,0,2,19.0344,49.005,2
10-05-2022,Tuesday,Badrinath,20620.6,0,1,2,6.3875,0.004166667,4.204166667,74.91666667,5,1,0,1.1,25.03125,0,0,19034.4,11220,8580,12736.42857,60,0,1,7814.4,50.0625,0,2,20.6206,50.0625,2
11-05-2022,Wednesday,Badrinath,22206.8,1,1,2,7.9125,0.045833333,5.320833333,76.25,5,2,0,1.1,26.05375,0,0,20620.6,8580,9240,14588.82857,60,0,1,12040.6,52.1075,0,2,22.2068,52.1075,2
12-05-2022,Thursday,Badrinath,23793,0,1,2,7.958333333,0.016666667,4.829166667,76.66666667,5,3,0,1.1,26.18833333,0,0,22206.8,19034.4,9900,16573.54286,60,0,1,3172.4,52.37666666,0,2,23.793,52.37666666,2
13-05-2022,Friday,Badrinath,25379.2,1,1,2,8.279166667,0.083333333,5.220833333,72.875,5,4,0,1.1,25.19916667,0,0,23793,20620.6,10560,18690.57143,60,0,1,3172.4,50.39833334,0,2,25.3792,50.39833334,2
14-05-2022,Saturday,Badrinath,26965.4,1,1,2,9.75,0.125,5.533333333,67,5,5,1,1.1,24.0375,0,0,25379.2,22206.8,11220,20939.91429,60,0,1,3172.4,48.075,26.9654,2,26.9654,96.15,2
15-05-2022,Sunday,Badrinath,20620.6,1,2,2,10.11666667,0.2125,5.654166667,70.95833333,5,6,1,1.1,25.39791667,1,0,26965.4,23793,8580,22660,60,0,1,3172.4,50.79583334,20.6206,4,20.6206,101.5916667,2
16-05-2022,Monday,Badrinath,16948.8,1,1,2,9.775,0.195833333,5.020833333,65.375,5,0,0,1.1,23.58125,0,0,20620.6,25379.2,19034.4,22362.05714,60,0,1,-4758.6,47.1625,0,2,16.9488,47.1625,2
17-05-2022,Tuesday,Badrinath,18361.2,1,3,2,8.720833333,0.725,3.6875,88.70833333,5,1,0,1.1,30.31833333,1,0,16948.8,26965.4,20620.6,22039.28571,60,0,1,-10016.6,60.63666666,0,6,18.3612,60.63666666,2
18-05-2022,Wednesday,Badrinath,19773.6,1,2,2,7.804166667,0.270833333,5.0125,78.83333333,5,2,0,1.1,26.85291667,1,0,18361.2,20620.6,22206.8,21691.68571,60,0,1,-2259.4,53.70583334,0,4,19.7736,53.70583334,2
19-05-2022,Thursday,Badrinath,21186,0,1,2,7.675,0.0125,5.204166667,74.16666667,5,3,0,1.1,25.32375,0,0,19773.6,16948.8,23793,21319.25714,60,0,1,2824.8,50.6475,0,2,21.186,50.6475,2
20-05-2022,Friday,Badrinath,22598.4,1,2,2,8.495833333,0.529166667,4.675,66.33333333,5,4,0,1.1,23.45708333,1,0,21186,18361.2,25379.2,20922,60,0,1,2824.8,46.91416666,0,4,22.5984,46.91416666,2
21-05-2022,Saturday,Badrinath,24010.8,1,2,2,8.641666667,0.2375,5.4625,60.83333333,5,5,1,1.1,21.77791667,1,0,22598.4,19773.6,26965.4,20499.91429,60,0,1,2824.8,43.55583334,24.0108,4,24.0108,87.11166668,2
22-05-2022,Sunday,Badrinath,18361.2,1,3,2,7.116666667,0.841666667,5.0375,77.625,5,6,1,1.1,26.38666667,1,0,24010.8,21186,20620.6,20177.14286,60,0,1,2824.8,52.77333334,18.3612,6,18.3612,105.5466667,2
23-05-2022,Monday,Badrinath,16051.2,1,1,2,5.8125,0.133333333,4.691666667,68.66666667,5,0,0,1.1,22.965,0,0,18361.2,22598.4,16948.8,20048.91429,30,0,1,-4237.2,45.93,0,2,16.0512,45.93,2
24-05-2022,Tuesday,Badrinath,17388.8,1,2,2,5.6125,0.379166667,3.333333333,82.91666667,5,1,0,1.1,27.23375,1,0,16051.2,24010.8,18361.2,19910,60,0,1,-7959.6,54.4675,0,4,17.3888,54.4675,2
25-05-2022,Wednesday,Badrinath,18726.4,0,1,2,5.679166667,0.0125,4.6625,70.41666667,5,2,0,1.1,23.40041667,0,0,17388.8,18361.2,19773.6,19760.4,60,0,1,-972.4,46.80083334,0,2,18.7264,46.80083334,2
26-05-2022,Thursday,Badrinath,20064,1,1,2,8.145833333,0.075,3.595833333,76.875,5,3,0,1.1,26.34333333,0,0,18726.4,16051.2,21186,19600.11429,60,0,1,2675.2,52.68666666,0,2,20.064,52.68666666,2
27-05-2022,Friday,Badrinath,21401.6,1,2,2,8.725,0.220833333,5.175,78.16666667,5,4,0,1.1,27.00625,1,0,20064,17388.8,22598.4,19429.14286,60,0,1,2675.2,54.0125,0,4,21.4016,54.0125,2
